image_id,labels
train-cbb-62.jpg,0
train-cbb-434.jpg,0
train-cbb-245.jpg,0
train-cbb-279.jpg,0
1465774459.jpg,0
train-cbb-392.jpg,0
train-cbb-136.jpg,0
train-cbb-360.jpg,0
3109105894.jpg,0
2423344068.jpg,0
566571284.jpg,0
617651411.jpg,0
3105818725.jpg,0
4174034867.jpg,0
72925791.jpg,0
3950261672.jpg,0
train-cbb-401.jpg,0
train-cbb-305.jpg,0
4117744697.jpg,0
3249336274.jpg,0
1957663737.jpg,0
1439675422.jpg,0
3866571802.jpg,0
train-cbb-282.jpg,0
3489780896.jpg,0
2146353282.jpg,0
3727711580.jpg,0
3207502224.jpg,0
3594749275.jpg,0
3143832551.jpg,0
244407780.jpg,0
train-cbb-127.jpg,0
2468469374.jpg,0
3775082960.jpg,0
train-cbb-199.jpg,0
1474376023.jpg,0
1708593214.jpg,0
2028087473.jpg,0
train-cbb-418.jpg,0
1050949665.jpg,0
3905302037.jpg,0
train-cbb-102.jpg,0
train-cbb-321.jpg,0
3298994120.jpg,0
2384852516.jpg,0
train-cbb-310.jpg,0
2655340809.jpg,0
train-cbb-453.jpg,0
4040102956.jpg,0
train-cbb-165.jpg,0
1576606254.jpg,0
train-cbb-11.jpg,0
train-cbb-326.jpg,0
1795318849.jpg,0
1298789590.jpg,0
3221655507.jpg,0
5511383.jpg,0
train-cbb-189.jpg,0
2857712937.jpg,0
train-cbb-417.jpg,0
749210924.jpg,0
train-cbb-388.jpg,0
71608311.jpg,0
3454534975.jpg,0
3435885572.jpg,0
train-cbb-84.jpg,0
train-cbb-158.jpg,0
2523524026.jpg,0
train-cbb-338.jpg,0
train-cbb-69.jpg,0
755073612.jpg,0
592251506.jpg,0
1071960213.jpg,0
train-cbb-266.jpg,0
171546937.jpg,0
4145595052.jpg,0
train-cbb-233.jpg,0
851450770.jpg,0
2273730548.jpg,0
train-cbb-441.jpg,0
4130341996.jpg,0
1281314946.jpg,0
2343776715.jpg,0
798023657.jpg,0
2076904625.jpg,0
948363257.jpg,0
1960345472.jpg,0
2766931963.jpg,0
train-cbb-398.jpg,0
3656419119.jpg,0
1443500189.jpg,0
train-cbb-367.jpg,0
3978296365.jpg,0
2021674610.jpg,0
1569164715.jpg,0
1081331009.jpg,0
3489692619.jpg,0
train-cbb-365.jpg,0
1844847808.jpg,0
167313296.jpg,0
25519336.jpg,0
train-cbb-302.jpg,0
296987551.jpg,0
train-cbb-234.jpg,0
3493597952.jpg,0
train-cbb-271.jpg,0
train-cbb-96.jpg,0
train-cbb-395.jpg,0
train-cbb-131.jpg,0
830812751.jpg,0
2647322567.jpg,0
3413149507.jpg,0
train-cbb-157.jpg,0
815181959.jpg,0
train-cbb-184.jpg,0
3107856880.jpg,0
